Marker,Channel Min,Channel Max,Viewer Gamma
CD8,1963.5,21049.5,3.15
PDL1,4206.3,32715.9,1.58
HSV1,1726.8,7833.8,2.11
OLIG2,6127.3,27640.2,2.52
CD40,938.5,7837.1,3.17
CD3,4556.8,17433.8,4.05
SOX2,1341.6,6362.6,3.89
CD20,1641.8,19287.5,3.89
Nestin,1213.7,7321.4,2
PanCK,87.2,7657,1.85
CD31,817.6,19652,1.85
TMEM119,3340.8,12568.2,3.17
GranzymeB,2225.7,18431.2,2.91
Vimentin,813.8,5466.4,2.91
PDGFRa,2007.9,6477.2,4.65
HIF1a,2259.8,8661.3,2.11
P2Y12,2081.3,8582.8,2.17
CXCR4,1161,7626.7,3.32
Ki67,107.2,5721.7,3.32
