cell,leiden_final
347,Removed
348,Myenteric Plexus
349,Enterocyte (Bottom Villus)
350,Paneth
351,Enterocyte (Bottom Villus)
352,Stromal
353,Stem + TA
354,Telocyte
355,Smooth Muscle
356,Paneth
357,Paneth
358,Smooth Muscle
359,Myenteric Plexus
360,B (Plasma)
361,Stem + TA
362,Telocyte
363,Enterocyte (Bottom Villus)
364,Macrophage + DC
365,Stem + TA
366,Stem + TA
367,Smooth Muscle
368,Removed
369,Stem + TA
370,Removed
371,B (Plasma)
372,Stem + TA
373,Smooth Muscle
374,Stem + TA
375,Stromal
376,Stromal
377,Paneth
378,Macrophage + DC
379,Stem + TA
380,Stem + TA
381,Removed
382,Smooth Muscle
383,Telocyte
384,Enterocyte (Bottom Villus)
385,Stem + TA
386,T (CD4+)
387,Telocyte
388,Myenteric Plexus
389,Removed
390,Enterocyte (Bottom Villus)
391,Endothelial
392,Smooth Muscle
393,Stem + TA
394,Smooth Muscle
395,Enterocyte (Bottom Villus)
396,Enterocyte (Bottom Villus)
397,Goblet
398,Removed
399,Macrophage + DC
400,Myenteric Plexus
401,Smooth Muscle
402,Removed
403,B (Plasma)
404,Paneth
405,Endothelial
406,Smooth Muscle
407,Stromal
408,T (CD4+)
409,Stem + TA
410,Enterocyte (Mid Villus)
411,Smooth Muscle
412,Stem + TA
413,Stem + TA
414,Stromal
415,Enterocyte (Bottom Villus)
416,Smooth Muscle
417,Stem + TA
418,Smooth Muscle
419,Paneth
420,Stem + TA
421,Myenteric Plexus
422,Stem + TA
423,Stem + TA
424,Telocyte
425,Smooth Muscle
426,Enterocyte (Bottom Villus)
427,Goblet
428,Enterocyte (Bottom Villus)
429,Telocyte
430,Smooth Muscle
431,Macrophage + DC
432,B (Plasma)
433,Enterocyte (Bottom Villus)
434,Stem + TA
435,Stem + TA
436,ICC
437,Goblet
438,Smooth Muscle
439,Stem + TA
440,Stromal
441,Stromal
442,Stem + TA
443,Stem + TA
444,Smooth Muscle
445,Smooth Muscle
446,Smooth Muscle
447,ICC
448,Enterocyte (Bottom Villus)
449,Smooth Muscle
450,Enterocyte (Bottom Villus)
451,Stem + TA
452,Smooth Muscle
453,Stromal
454,Enterocyte (Mid Villus)
455,Smooth Muscle
456,Macrophage + DC
457,Stromal
458,Paneth
459,Goblet
460,Stromal
461,Smooth Muscle
462,Macrophage + DC
463,Stem + TA
464,Stem + TA
465,Removed
466,Smooth Muscle
467,Enterocyte (Bottom Villus)
468,Stem + TA
469,Stem + TA
470,Stem + TA
471,Smooth Muscle
472,Stem + TA
473,B (Plasma)
474,Paneth
