cell,leiden_final
1303,Smooth Muscle
1304,B (Plasma)
1305,Stem + TA
1306,Telocyte
1307,B (Plasma)
1308,Enterocyte (Mid Villus)
1309,Smooth Muscle
1310,Stromal
1311,Endothelial
1312,Stem + TA
1313,B (Plasma)
1314,Macrophage + DC
1315,Enterocyte (Mid Villus)
1316,Enterocyte (Bottom Villus)
1317,Smooth Muscle
1318,Goblet
1319,Stem + TA
1320,Stromal
1321,Enterocyte (Mid Villus)
1322,Stem + TA
1323,Stromal
1324,Stromal
1325,Enterocyte (Mid Villus)
1326,Telocyte
1327,Telocyte
1328,Enterocyte (Mid Villus)
1329,Enterocyte (Bottom Villus)
1330,Smooth Muscle
1331,Smooth Muscle
1332,Smooth Muscle
1333,Stem + TA
1334,Smooth Muscle
1335,Enterocyte (Mid Villus)
1336,Stem + TA
1337,Enterocyte (Bottom Villus)
1338,B (Plasma)
1339,Removed
1340,B (Plasma)
1341,Smooth Muscle
1342,Smooth Muscle
1343,Macrophage + DC
1344,Removed
1345,Stromal
1346,Stromal
1347,Smooth Muscle
1348,Smooth Muscle
1349,Enterocyte (Mid Villus)
1350,Enterocyte (Mid Villus)
1351,Macrophage + DC
1352,Enterocyte (Mid Villus)
1353,T (CD4+)
1354,Smooth Muscle
1355,T (CD8+)
1356,Smooth Muscle
1357,Stromal
1358,Macrophage + DC
1359,Enterocyte (Mid Villus)
1360,Enterocyte (Mid Villus)
1361,Endothelial
1362,Enterocyte (Mid Villus)
1363,Goblet
1364,Stromal
1365,Enterocyte (Mid Villus)
1366,Enterocyte (Mid Villus)
1367,Stem + TA
1368,Removed
1369,Macrophage + DC
1370,Endothelial
1371,Macrophage + DC
1372,Stem + TA
1373,Enterocyte (Bottom Villus)
1374,Goblet
1375,Enterocyte (Bottom Villus)
1376,Enterocyte (Mid Villus)
1377,ICC
1378,Goblet
1379,Enterocyte (Mid Villus)
1380,Stromal
1381,B (Plasma)
1382,Removed
1383,Goblet
1384,Enterocyte (Bottom Villus)
1385,Enterocyte (Mid Villus)
1386,Smooth Muscle
1387,B (Plasma)
1388,T (CD4+)
1389,Removed
1390,B (Plasma)
1391,T (CD4+)
1392,Stromal
1393,Removed
1394,B (Plasma)
1395,Smooth Muscle
1396,Smooth Muscle
1397,B (Plasma)
1398,Smooth Muscle
1399,Stem + TA
1400,Enterocyte (Mid Villus)
1401,Stromal
1402,Goblet
1403,Enterocyte (Mid Villus)
1404,Smooth Muscle
1405,Smooth Muscle
1406,Stromal
1407,Enterocyte (Mid Villus)
1408,Telocyte
1409,Smooth Muscle
1410,Endothelial
1411,Enterocyte (Bottom Villus)
1412,Stromal
1413,Stromal
1414,Smooth Muscle
1415,Macrophage + DC
1416,Enterocyte (Mid Villus)
1417,Enterocyte (Mid Villus)
1418,Smooth Muscle
1419,Stromal
1420,Enterocyte (Bottom Villus)
1421,Stromal
1422,Macrophage + DC
1423,Enterocyte (Mid Villus)
1424,Enterocyte (Mid Villus)
1425,Enterocyte (Bottom Villus)
1426,Stem + TA
1427,Removed
1428,Stem + TA
1429,B (Plasma)
1430,Enterocyte (Bottom Villus)
1431,Removed
1432,Macrophage + DC
1433,Stem + TA
1434,Macrophage + DC
1435,Enterocyte (Mid Villus)
1436,Smooth Muscle
1437,Endothelial
1438,Goblet
1439,Stem + TA
1440,Enterocyte (Bottom Villus)
1441,Smooth Muscle
1442,Removed
1443,Smooth Muscle
1444,Stromal
1445,Enterocyte (Mid Villus)
1446,Removed
1447,Stromal
1448,Enterocyte (Bottom Villus)
1449,Enterocyte (Mid Villus)
1450,Removed
1451,Endothelial
1452,Enterocyte (Bottom Villus)
1453,Stromal
1454,Removed
1455,Removed
1456,Macrophage + DC
1457,Macrophage + DC
1458,Enterocyte (Bottom Villus)
1459,Enterocyte (Bottom Villus)
1460,Enterocyte (Mid Villus)
1461,Enterocyte (Mid Villus)
1462,Removed
1463,Goblet
1464,Enterocyte (Mid Villus)
1465,Goblet
1466,Enterocyte (Mid Villus)
1467,Goblet
1468,T (CD4+)
1469,Smooth Muscle
1470,Enterocyte (Mid Villus)
1471,Stromal
1472,T (CD8+)
1473,Stromal
1474,Enterocyte (Mid Villus)
1475,Stem + TA
1476,Enterocyte (Mid Villus)
1477,Stem + TA
1478,Endothelial
1479,Endothelial
1480,Enterocyte (Bottom Villus)
1481,Stromal
1482,Telocyte
1483,Enterocyte (Mid Villus)
1484,Paneth
1485,Enterocyte (Mid Villus)
1486,Enterocyte (Mid Villus)
1487,Smooth Muscle
1488,Stromal
1489,Stromal
1490,Paneth
1491,Smooth Muscle
1492,Removed
1493,Stromal
1494,Goblet
1495,Enterocyte (Mid Villus)
1496,Stem + TA
1497,Stem + TA
1498,Enterocyte (Mid Villus)
1499,Macrophage + DC
1500,B (Plasma)
1501,Goblet
1502,Enterocyte (Mid Villus)
1503,Goblet
1504,Stromal
1505,Stem + TA
1506,Enterocyte (Mid Villus)
1507,Smooth Muscle
1508,Macrophage + DC
1509,Smooth Muscle
1510,Enterocyte (Mid Villus)
1511,B (Plasma)
1512,Smooth Muscle
1513,Stem + TA
1514,Stromal
1515,B (Plasma)
1516,Telocyte
1517,Enterocyte (Mid Villus)
1518,Macrophage + DC
1519,Telocyte
1520,Telocyte
1521,T (CD4+)
1522,Paneth
1523,Removed
1524,Smooth Muscle
1525,Enterocyte (Mid Villus)
1526,Removed
1527,Smooth Muscle
1528,Myenteric Plexus
1529,T (CD4+)
1530,Enterocyte (Mid Villus)
1531,Stem + TA
1532,Enterocyte (Mid Villus)
1533,Stromal
1534,Enterocyte (Mid Villus)
1535,Smooth Muscle
1536,Enterocyte (Mid Villus)
1537,Goblet
1538,Removed
1539,Enterocyte (Mid Villus)
1540,Stromal
1541,Endothelial
1542,Stromal
1543,Enterocyte (Bottom Villus)
1544,Goblet
1545,Enterocyte (Bottom Villus)
1546,Goblet
1547,B (Plasma)
1548,Enterocyte (Mid Villus)
1549,Stem + TA
1550,Enterocyte (Mid Villus)
1551,Macrophage + DC
1552,Stromal
1553,Enterocyte (Mid Villus)
1554,Enterocyte (Mid Villus)
1555,Paneth
1556,Stem + TA
1557,Goblet
1558,Enterocyte (Mid Villus)
1559,Paneth
1560,Enterocyte (Mid Villus)
1561,Enterocyte (Mid Villus)
1562,Stromal
1563,Enterocyte (Mid Villus)
1564,Myenteric Plexus
1565,Enterocyte (Mid Villus)
1566,Macrophage + DC
1567,Smooth Muscle
1568,Stromal
1569,B (Plasma)
1570,Removed
1571,Macrophage + DC
1572,Stem + TA
1573,Endothelial
1574,Paneth
1575,Enterocyte (Mid Villus)
1576,Enterocyte (Bottom Villus)
1577,Stem + TA
1578,Enterocyte (Bottom Villus)
1579,Smooth Muscle
1580,Stem + TA
1581,T (CD4+)
1582,Enterocyte (Mid Villus)
1583,Smooth Muscle
1584,Smooth Muscle
1585,Smooth Muscle
1586,Removed
1587,Stem + TA
1588,Goblet
1589,Stem + TA
1590,ICC
1591,Smooth Muscle
1592,Smooth Muscle
1593,Goblet
1594,Goblet
1595,Macrophage + DC
1596,Removed
1597,Stem + TA
1598,Endothelial
1599,Enterocyte (Bottom Villus)
1600,B (Plasma)
1601,Stem + TA
1602,Enterocyte (Mid Villus)
1603,Enterocyte (Mid Villus)
1604,Goblet
1605,Enterocyte (Mid Villus)
1606,Enterocyte (Bottom Villus)
1607,Goblet
1608,Telocyte
1609,Macrophage + DC
1610,B (Plasma)
1611,Stem + TA
1612,Stem + TA
1613,Enterocyte (Bottom Villus)
1614,Endothelial
1615,Enterocyte (Mid Villus)
1616,Smooth Muscle
1617,Smooth Muscle
1618,Macrophage + DC
1619,Enterocyte (Mid Villus)
1620,Enterocyte (Mid Villus)
1621,Stem + TA
1622,Stem + TA
1623,Enterocyte (Mid Villus)
1624,Smooth Muscle
1625,Stem + TA
1626,B (Plasma)
1627,Enterocyte (Bottom Villus)
1628,Enterocyte (Mid Villus)
1629,Stem + TA
1630,Enterocyte (Mid Villus)
1631,Enterocyte (Mid Villus)
1632,Stromal
1633,Enterocyte (Mid Villus)
1634,Macrophage + DC
1635,Macrophage + DC
1636,Stem + TA
1637,Smooth Muscle
1638,Removed
1639,Removed
1640,Enterocyte (Bottom Villus)
1641,Stem + TA
1642,T (CD8+)
1643,B (Plasma)
1644,Smooth Muscle
1645,Enterocyte (Bottom Villus)
1646,Paneth
1647,Paneth
1648,Smooth Muscle
1649,Stem + TA
1650,Smooth Muscle
1651,Stromal
1652,Smooth Muscle
1653,Goblet
1654,Smooth Muscle
1655,Stromal
1656,B (Plasma)
1657,Enterocyte (Mid Villus)
1658,Stem + TA
1659,Smooth Muscle
1660,Smooth Muscle
1661,Smooth Muscle
1662,Stem + TA
1663,B (Plasma)
1664,Enterocyte (Bottom Villus)
1665,Smooth Muscle
1666,Paneth
1667,Enterocyte (Mid Villus)
1668,Macrophage + DC
1669,Macrophage + DC
1670,Enterocyte (Bottom Villus)
1671,Macrophage + DC
1672,ICC
1673,T (CD4+)
1674,Macrophage + DC
1675,Smooth Muscle
1676,B (Plasma)
1677,Enterocyte (Mid Villus)
1678,B (Plasma)
1679,Goblet
1680,Smooth Muscle
1681,Enterocyte (Mid Villus)
1682,Enterocyte (Mid Villus)
1683,B (Plasma)
1684,Stromal
1685,Smooth Muscle
1686,Stromal
1687,Paneth
1688,Enterocyte (Mid Villus)
1689,Enterocyte (Mid Villus)
1690,Stromal
1691,Endothelial
1692,ICC
1693,Stromal
1694,Smooth Muscle
1695,Enterocyte (Mid Villus)
1696,B (Plasma)
1697,Enterocyte (Bottom Villus)
1698,Stem + TA
1699,Stem + TA
1700,Stem + TA
1701,Enterocyte (Mid Villus)
1702,Pericyte
1703,Smooth Muscle
1704,Stromal
1705,Enterocyte (Mid Villus)
1706,Enterocyte (Mid Villus)
1707,Enterocyte (Mid Villus)
1708,Enterocyte (Bottom Villus)
1709,Macrophage + DC
1710,Stem + TA
1711,B (Plasma)
1712,T (CD4+)
1713,Goblet
1714,Stromal
1715,Stem + TA
1716,Smooth Muscle
1717,Goblet
1718,Enterocyte (Bottom Villus)
1719,Stem + TA
1720,Removed
1721,Smooth Muscle
1722,Macrophage + DC
1723,Enterocyte (Mid Villus)
1724,Smooth Muscle
1725,Enterocyte (Mid Villus)
1726,B (Plasma)
1727,Enterocyte (Bottom Villus)
1728,Enterocyte (Mid Villus)
1729,Stromal
1730,Enterocyte (Bottom Villus)
1731,Enterocyte (Bottom Villus)
1732,Smooth Muscle
1733,Macrophage + DC
1734,Goblet
1735,B (Plasma)
1736,Stromal
1737,B (Plasma)
1738,Smooth Muscle
1739,Enterocyte (Mid Villus)
1740,Telocyte
1741,Stem + TA
1742,Smooth Muscle
1743,Stem + TA
1744,Macrophage + DC
1745,Enterocyte (Mid Villus)
1746,Stem + TA
1747,Smooth Muscle
1748,Goblet
1749,Stem + TA
1750,B (Plasma)
1751,Smooth Muscle
1752,Stem + TA
1753,Smooth Muscle
1754,Enterocyte (Bottom Villus)
1755,Smooth Muscle
1756,B (Plasma)
1757,Enterocyte (Bottom Villus)
1758,Stem + TA
1759,Enterocyte (Mid Villus)
1760,Removed
1761,Smooth Muscle
1762,B (Plasma)
1763,Enterocyte (Mid Villus)
1764,Enterocyte (Mid Villus)
1765,Smooth Muscle
1766,B (Plasma)
1767,Pericyte
1768,Stromal
1769,Enterocyte (Mid Villus)
1770,Stem + TA
1771,Endothelial
1772,Enterocyte (Mid Villus)
1773,Endothelial
1774,Enterocyte (Mid Villus)
1775,Removed
1776,Goblet
1777,Enterocyte (Mid Villus)
1778,Smooth Muscle
1779,Smooth Muscle
1780,Stem + TA
1781,Paneth
1782,Smooth Muscle
1783,Macrophage + DC
1784,Stem + TA
1785,Macrophage + DC
1786,Enterocyte (Mid Villus)
1787,Stem + TA
1788,Smooth Muscle
1789,Stromal
1790,B (Plasma)
1791,Smooth Muscle
1792,Goblet
1793,Telocyte
1794,Macrophage + DC
1795,Stem + TA
1796,Stem + TA
1797,Telocyte
1798,Removed
1799,Smooth Muscle
1800,Stem + TA
1801,Macrophage + DC
1802,Smooth Muscle
1803,T (CD4+)
1804,Goblet
1805,B (Plasma)
1806,Stromal
1807,B (Plasma)
1808,Stromal
1809,Paneth
1810,Smooth Muscle
1811,Smooth Muscle
1812,Endothelial
1813,Enterocyte (Mid Villus)
1814,Stromal
1815,Stromal
1816,Stromal
1817,T (CD4+)
1818,Enterocyte (Mid Villus)
1819,Endothelial
1820,B (Plasma)
1821,B (Plasma)
1822,Goblet
1823,Paneth
1824,Enterocyte (Mid Villus)
1825,Enterocyte (Mid Villus)
1826,Enterocyte (Mid Villus)
1827,Enterocyte (Mid Villus)
1828,Stem + TA
1829,Telocyte
1830,Enterocyte (Mid Villus)
1831,Stem + TA
1832,Enterocyte (Mid Villus)
1833,Telocyte
1834,Stromal
1835,Goblet
1836,Enterocyte (Mid Villus)
1837,Stromal
1838,Enterocyte (Mid Villus)
1839,Enterocyte (Mid Villus)
1840,Stem + TA
1841,B (Plasma)
1842,Smooth Muscle
1843,Smooth Muscle
1844,ICC
1845,Stromal
1846,Removed
1847,Enterocyte (Mid Villus)
1848,Enterocyte (Mid Villus)
1849,Stem + TA
1850,T (CD4+)
1851,Stem + TA
1852,Stromal
1853,"B (Follicular, Circulating)"
1854,Stem + TA
1855,Goblet
1856,Macrophage + DC
1857,B (Plasma)
1858,T (CD4+)
1859,B (Plasma)
1860,Endothelial
1861,Goblet
1862,Stromal
1863,Removed
1864,Telocyte
1865,Smooth Muscle
1866,Smooth Muscle
1867,B (Plasma)
1868,Smooth Muscle
1869,Enterocyte (Bottom Villus)
1870,Stromal
1871,Removed
1872,B (Plasma)
1873,Enterocyte (Mid Villus)
1874,Endothelial
1875,Macrophage + DC
1876,Stem + TA
1877,Enterocyte (Mid Villus)
1878,B (Plasma)
1879,B (Plasma)
1880,Smooth Muscle
1881,Smooth Muscle
1882,B (Plasma)
1883,Goblet
1884,Stromal
1885,B (Plasma)
1886,Macrophage + DC
1887,Macrophage + DC
1888,Stem + TA
1889,Enterocyte (Mid Villus)
1890,B (Plasma)
1891,Smooth Muscle
1892,Smooth Muscle
1893,Smooth Muscle
1894,Stem + TA
1895,B (Plasma)
1896,Stem + TA
1897,Smooth Muscle
1898,Smooth Muscle
1899,"B (Follicular, Circulating)"
1900,Enterocyte (Mid Villus)
1901,Stem + TA
1902,Stem + TA
1903,Enterocyte (Mid Villus)
1904,Enterocyte (Mid Villus)
1905,Stem + TA
1906,Stem + TA
1907,B (Plasma)
1908,B (Plasma)
1909,ICC
1910,Macrophage + DC
1911,Macrophage + DC
1912,Stromal
1913,Enterocyte (Mid Villus)
1914,Removed
1915,Enterocyte (Mid Villus)
1916,Goblet
1917,B (Plasma)
1918,T (CD8+)
1919,Endothelial
1920,Stem + TA
1921,Stromal
1922,Paneth
1923,Paneth
1924,Smooth Muscle
1925,Endothelial
1926,Stromal
1927,T (CD4+)
1928,Enterocyte (Mid Villus)
1929,Enterocyte (Mid Villus)
1930,Stromal
1931,Stem + TA
1932,Pericyte
1933,Smooth Muscle
1934,Enterocyte (Mid Villus)
1935,Smooth Muscle
1936,Stromal
1937,Removed
1938,"B (Follicular, Circulating)"
1939,Macrophage + DC
1940,Stem + TA
1941,Enterocyte (Mid Villus)
1942,B (Plasma)
1943,Stem + TA
1944,B (Plasma)
1945,Stromal
1946,Smooth Muscle
1947,Goblet
1948,Enterocyte (Mid Villus)
1949,Stem + TA
1950,Enterocyte (Mid Villus)
1951,Enterocyte (Mid Villus)
1952,Stromal
1953,Stem + TA
1954,Stromal
1955,Macrophage + DC
1956,Telocyte
1957,Enterocyte (Mid Villus)
1958,B (Plasma)
1959,B (Plasma)
1960,Stromal
1961,Stromal
1962,Macrophage + DC
1963,T (CD4+)
1964,Goblet
1965,Enterocyte (Mid Villus)
1966,Macrophage + DC
1967,Enterocyte (Mid Villus)
1968,B (Plasma)
1969,Goblet
1970,Enterocyte (Mid Villus)
1971,B (Plasma)
1972,Enterocyte (Mid Villus)
1973,Stromal
1974,Macrophage + DC
1975,B (Plasma)
1976,T (CD8+)
1977,Stem + TA
1978,Stem + TA
1979,Goblet
1980,Goblet
1981,B (Plasma)
1982,Removed
1983,Stromal
1984,Smooth Muscle
1985,Stem + TA
1986,Endothelial
1987,Stem + TA
1988,Paneth
1989,Stem + TA
1990,Smooth Muscle
1991,Stem + TA
1992,B (Plasma)
1993,Removed
1994,Stem + TA
1995,Removed
1996,Enterocyte (Mid Villus)
1997,Smooth Muscle
1998,Stem + TA
1999,Smooth Muscle
2000,B (Plasma)
2001,Enterocyte (Mid Villus)
2002,Enterocyte (Mid Villus)
2003,B (Plasma)
2004,Stem + TA
2005,Paneth
2006,Pericyte
2007,Macrophage + DC
2008,Smooth Muscle
2009,Stem + TA
2010,Enterocyte (Mid Villus)
2011,Stem + TA
2012,Stromal
2013,Stem + TA
2014,Telocyte
2015,Stem + TA
2016,Goblet
2017,Smooth Muscle
2018,"B (Follicular, Circulating)"
2019,Pericyte
2020,B (Plasma)
2021,Goblet
2022,Stem + TA
2023,B (Plasma)
2024,B (Plasma)
2025,Enterocyte (Mid Villus)
2026,Enterocyte (Mid Villus)
2027,Endothelial
2028,Smooth Muscle
2029,Stromal
2030,Endothelial
2031,Enterocyte (Mid Villus)
2032,B (Plasma)
2033,Enterocyte (Mid Villus)
2034,Macrophage + DC
2035,Goblet
2036,Stem + TA
2037,Pericyte
2038,Removed
2039,"B (Follicular, Circulating)"
2040,Paneth
2041,Smooth Muscle
2042,Stromal
2043,Smooth Muscle
2044,Smooth Muscle
2045,Stem + TA
2046,Stem + TA
2047,Smooth Muscle
2048,B (Plasma)
2049,B (Plasma)
2050,Stromal
2051,B (Plasma)
2052,Stem + TA
2053,Enterocyte (Mid Villus)
2054,T (CD4+)
2055,Stem + TA
2056,Removed
2057,Enterocyte (Mid Villus)
2058,Enterocyte (Mid Villus)
2059,B (Plasma)
2060,Macrophage + DC
2061,B (Plasma)
2062,Enterocyte (Mid Villus)
2063,Stem + TA
2064,Stem + TA
2065,Stem + TA
2066,Goblet
2067,Stem + TA
2068,B (Plasma)
2069,Smooth Muscle
2070,Goblet
2071,Goblet
2072,Smooth Muscle
2073,B (Plasma)
2074,T (CD4+)
2075,Enterocyte (Mid Villus)
2076,Stem + TA
2077,Stromal
2078,Stem + TA
2079,Removed
2080,Paneth
2081,Macrophage + DC
2082,Macrophage + DC
2083,Stromal
2084,Removed
2085,Stem + TA
2086,Endothelial
2087,Stromal
2088,Smooth Muscle
2089,Enterocyte (Mid Villus)
2090,Enterocyte (Mid Villus)
2091,Smooth Muscle
2092,Stem + TA
2093,Enterocyte (Bottom Villus)
2094,Stem + TA
2095,Stromal
2096,Stem + TA
2097,Paneth
2098,B (Plasma)
2099,B (Plasma)
2100,Smooth Muscle
2101,Smooth Muscle
2102,B (Plasma)
2103,B (Plasma)
2104,Stem + TA
2105,Paneth
2106,B (Plasma)
2107,Telocyte
2108,Stem + TA
2109,Enterocyte (Mid Villus)
2110,Removed
2111,Smooth Muscle
2112,Goblet
2113,Stem + TA
2114,Stem + TA
2115,Stem + TA
2116,Stem + TA
2117,Stem + TA
2118,Stem + TA
2119,B (Plasma)
2120,Stromal
2121,Pericyte
2122,Stem + TA
2123,Paneth
2124,Paneth
2125,Removed
2126,Paneth
2127,B (Plasma)
2128,T (CD8+)
2129,Removed
2130,Smooth Muscle
2131,Stromal
2132,"B (Follicular, Circulating)"
2133,Stem + TA
2134,Enterocyte (Bottom Villus)
2135,B (Plasma)
2136,Stem + TA
2137,Stem + TA
2138,Smooth Muscle
2139,Paneth
2140,Enterocyte (Mid Villus)
2141,Stromal
2142,Removed
2143,Stem + TA
2144,Stem + TA
2145,Stromal
2146,Enterocyte (Mid Villus)
2147,Smooth Muscle
2148,Stem + TA
2149,Enterocyte (Mid Villus)
2150,Paneth
2151,B (Plasma)
2152,Stem + TA
2153,Enterocyte (Mid Villus)
2154,Stromal
2155,Enterocyte (Mid Villus)
2156,Stem + TA
2157,Enterocyte (Mid Villus)
2158,Enterocyte (Mid Villus)
2159,Stem + TA
2160,Telocyte
2161,B (Plasma)
2162,Paneth
2163,Pericyte
2164,Stem + TA
2165,Enterocyte (Bottom Villus)
2166,Smooth Muscle
2167,Smooth Muscle
2168,Stem + TA
2169,Enterocyte (Mid Villus)
2170,B (Plasma)
2171,Macrophage + DC
2172,Enterocyte (Mid Villus)
2173,T (CD8+)
2174,Enterocyte (Mid Villus)
2175,Stem + TA
2176,T (CD8+)
2177,B (Plasma)
2178,Stem + TA
2179,Enterocyte (Bottom Villus)
2180,Stem + TA
2181,Enterocyte (Bottom Villus)
2182,Smooth Muscle
2183,Smooth Muscle
2184,Enterocyte (Bottom Villus)
2185,Stem + TA
2186,Smooth Muscle
2187,Stem + TA
2188,Removed
2189,Removed
2190,Telocyte
2191,Stromal
2192,Smooth Muscle
2193,Smooth Muscle
2194,Stem + TA
2195,Stromal
2196,Smooth Muscle
2197,Stem + TA
2198,Macrophage + DC
2199,T (CD4+)
2200,Stem + TA
2201,Stem + TA
2202,Stromal
2203,Smooth Muscle
2204,Smooth Muscle
2205,Smooth Muscle
2206,Stem + TA
2207,Stem + TA
2208,Macrophage + DC
2209,Enterocyte (Mid Villus)
2210,Macrophage + DC
2211,Goblet
2212,Stem + TA
2213,Enterocyte (Mid Villus)
2214,Goblet
2215,Stem + TA
2216,T (CD4+)
2217,Paneth
2218,Enterocyte (Mid Villus)
2219,B (Plasma)
2220,Stem + TA
2221,Enterocyte (Mid Villus)
2222,Smooth Muscle
2223,Enterocyte (Bottom Villus)
2224,Enterocyte (Bottom Villus)
2225,Smooth Muscle
2226,B (Plasma)
2227,Enterocyte (Mid Villus)
2228,Enterocyte (Mid Villus)
2229,B (Plasma)
2230,"B (Follicular, Circulating)"
2231,Enterocyte (Mid Villus)
2232,Removed
2233,Enterocyte (Bottom Villus)
2234,Stem + TA
2235,Stem + TA
2236,Enterocyte (Mid Villus)
2237,Smooth Muscle
2238,Smooth Muscle
2239,B (Plasma)
2240,Smooth Muscle
2241,Smooth Muscle
2242,Stem + TA
2243,B (Plasma)
2244,Enterocyte (Mid Villus)
2245,B (Plasma)
2246,Stromal
2247,Enterocyte (Mid Villus)
2248,Smooth Muscle
2249,Enterocyte (Mid Villus)
2250,Telocyte
2251,Removed
2252,Macrophage + DC
2253,Stem + TA
2254,Enterocyte (Bottom Villus)
2255,B (Plasma)
2256,Macrophage + DC
2257,B (Plasma)
2258,Enterocyte (Mid Villus)
2259,T (CD4+)
2260,T (CD4+)
2261,Stem + TA
2262,Stem + TA
2263,Enterocyte (Mid Villus)
2264,Macrophage + DC
2265,Stromal
2266,Stem + TA
2267,Stromal
2268,Stem + TA
2269,Stem + TA
2270,Stromal
2271,Stromal
2272,Enterocyte (Mid Villus)
2273,Enterocyte (Mid Villus)
2274,Stem + TA
2275,B (Plasma)
2276,Stem + TA
2277,Paneth
2278,Stromal
2279,Enterocyte (Bottom Villus)
2280,B (Plasma)
2281,Stem + TA
2282,Stromal
2283,B (Plasma)
2284,Endothelial
2285,Removed
2286,Goblet
2287,Enterocyte (Mid Villus)
2288,Stem + TA
2289,Smooth Muscle
2290,Removed
2291,Stem + TA
2292,Macrophage + DC
2293,Enterocyte (Mid Villus)
2294,Enterocyte (Mid Villus)
2295,Stem + TA
2296,"B (Follicular, Circulating)"
2297,Stromal
2298,Goblet
2299,T (CD4+)
2300,Goblet
2301,Enterocyte (Bottom Villus)
2302,Removed
2303,Stem + TA
2304,Goblet
2305,Removed
2306,Smooth Muscle
2307,Stem + TA
2308,Enterocyte (Mid Villus)
2309,Stem + TA
2310,Enterocyte (Top Villus)
2311,Enterocyte (Top Villus)
2312,Goblet
2313,Goblet
2314,Enterocyte (Bottom Villus)
2315,B (Plasma)
2316,Goblet
2317,Goblet
2318,Smooth Muscle
2319,Smooth Muscle
2320,Smooth Muscle
2321,Stromal
2322,Enterocyte (Bottom Villus)
2323,Goblet
2324,Stem + TA
2325,B (Plasma)
2326,Stem + TA
2327,Enterocyte (Mid Villus)
2328,Smooth Muscle
2329,Enterocyte (Bottom Villus)
2330,Smooth Muscle
2331,Paneth
2332,Paneth
2333,Goblet
2334,Smooth Muscle
2335,Macrophage + DC
2336,Stem + TA
2337,Enterocyte (Top Villus)
2338,Stromal
2339,Stromal
2340,Stromal
2341,Smooth Muscle
2342,Smooth Muscle
2343,Pericyte
2344,B (Plasma)
2345,Enterocyte (Bottom Villus)
2346,Enterocyte (Bottom Villus)
2347,Stromal
2348,Smooth Muscle
2349,Macrophage + DC
2350,Stem + TA
2351,Smooth Muscle
2352,Stem + TA
2353,Enterocyte (Top Villus)
2354,B (Plasma)
2355,Enterocyte (Mid Villus)
2356,Enterocyte (Bottom Villus)
2357,Enterocyte (Bottom Villus)
2358,Enterocyte (Mid Villus)
2359,Smooth Muscle
2360,ICC
2361,Stem + TA
2362,Enterocyte (Mid Villus)
2363,B (Plasma)
2364,Stem + TA
2365,Enterocyte (Mid Villus)
2366,Enterocyte (Mid Villus)
2367,Enterocyte (Mid Villus)
2368,Enterocyte (Mid Villus)
2369,Smooth Muscle
2370,Smooth Muscle
2371,Stem + TA
2372,Smooth Muscle
2373,Macrophage + DC
2374,T (CD4+)
2375,Goblet
2376,B (Plasma)
2377,Stem + TA
2378,Endothelial
2379,Stromal
2380,Smooth Muscle
2381,Enterocyte (Bottom Villus)
2382,Endothelial
2383,B (Plasma)
2384,Enterocyte (Mid Villus)
2385,Endothelial
2386,Smooth Muscle
2387,Stromal
2388,Removed
2389,Stem + TA
2390,Macrophage + DC
2391,B (Plasma)
2392,Stem + TA
2393,Stem + TA
2394,Smooth Muscle
2395,Stem + TA
2396,Smooth Muscle
2397,Stem + TA
2398,Smooth Muscle
2399,ICC
2400,Paneth
2401,Removed
2402,Stromal
2403,Goblet
2404,Smooth Muscle
2405,Enterocyte (Bottom Villus)
2406,Goblet
2407,Stem + TA
2408,Smooth Muscle
2409,Enterocyte (Bottom Villus)
2410,Smooth Muscle
2411,Enterocyte (Mid Villus)
2412,B (Plasma)
2413,Stem + TA
2414,Enterocyte (Bottom Villus)
2415,Enterocyte (Mid Villus)
2416,Enterocyte (Mid Villus)
2417,Smooth Muscle
2418,Macrophage + DC
2419,ICC
2420,Enterocyte (Mid Villus)
2421,ICC
2422,Stem + TA
2423,Enterocyte (Bottom Villus)
2424,B (Plasma)
2425,Endothelial
2426,Smooth Muscle
2427,Smooth Muscle
2428,Enterocyte (Top Villus)
2429,Paneth
2430,Paneth
2431,Macrophage + DC
2432,Stem + TA
2433,T (CD8+)
2434,Macrophage + DC
2435,B (Plasma)
2436,Enterocyte (Mid Villus)
2437,B (Plasma)
2438,Enterocyte (Bottom Villus)
2439,Stem + TA
2440,Macrophage + DC
2441,Enterocyte (Bottom Villus)
2442,Smooth Muscle
2443,Stem + TA
2444,Endothelial
2445,Enterocyte (Mid Villus)
2446,B (Plasma)
2447,Pericyte
2448,Pericyte
2449,Stem + TA
2450,Smooth Muscle
2451,Goblet
2452,Enterocyte (Mid Villus)
2453,Stem + TA
2454,Stem + TA
2455,Enterocyte (Mid Villus)
2456,Removed
2457,Stem + TA
2458,Enterocyte (Bottom Villus)
2459,Stem + TA
2460,Enterocyte (Mid Villus)
2461,Paneth
2462,Enterocyte (Mid Villus)
2463,B (Plasma)
2464,B (Plasma)
2465,B (Plasma)
2466,B (Plasma)
2467,Enterocyte (Bottom Villus)
2468,Stem + TA
2469,B (Plasma)
2470,Enterocyte (Bottom Villus)
2471,Goblet
2472,Stem + TA
2473,Macrophage + DC
2474,Enterocyte (Bottom Villus)
2475,Enterocyte (Mid Villus)
2476,Stromal
2477,Goblet
2478,Smooth Muscle
2479,Enterocyte (Mid Villus)
