Dataset,n_cells,n_genes,n_transcripts_mean,n_transcripts_p80,n_transcripts_p95,relative_purity_mean,relative_purity_p80,relative_purity_p95,relative_conflict_mean,relative_conflict_p80,relative_conflict_p95,signal_strength_mean,signal_strength_p80,signal_strength_p95,cell_purity_mean,cell_purity_p80,cell_purity_p95,conflict_score_mean,conflict_score_p80,conflict_score_p95
Xenium (NE),166217,313,156.8529091488837,235.0,357.0,0.6253820387810871,0.8035512614833545,0.9135239565009449,0.37461796121891283,0.5449039701817754,0.6132441293617326,174.78597332946399,250.07069415152623,406.0762212504366,0.4567919986627454,0.6060650937363266,0.7168784029038112,0.05467482518283667,0.07777574763918879,0.09552835252997478
Proseg,164929,313,169.97228504386737,195.0,322.6000000000058,0.7944198771021815,0.9248419664530181,0.9820329092818263,0.20558012289781835,0.3300855050002999,0.503330456323655,89.47589164299274,139.03392960764637,194.4740001577525,0.550248060060734,0.7012025901942646,0.7985739750445633,0.03164201492795327,0.04779913295888788,0.07181088915054484
Baysor,596617,308,43.47657542443477,68.0,144.0,0.6810337269692398,0.8664065136668403,0.9782562418040851,0.31896627303076014,0.5028939311997859,0.6439105785852154,31.89858118170204,56.27346505388338,117.31816715998401,0.4813764095117099,0.6373626373626373,0.7777777777777778,0.05481343346495232,0.08370727491905133,0.1220940460722412
Segger,160228,305,56.96584242454502,82.0,111.0,0.7576704617833357,0.8986046904845331,0.9838312556664194,0.2423295382166643,0.382119944984582,0.5102795088343333,53.23638620237169,81.8856570477807,115.93022403068179,0.5452009732029225,0.6988636363636364,0.8183183183183184,0.04028221660547774,0.058620501746665776,0.08327386960778474
BIDCell,106055,308,171.48198576210456,272.0,468.0,0.6445749179795688,0.7792088537608572,0.8851722235615661,0.3554250820204312,0.49452262109334777,0.5771652108599744,155.53705239476966,239.03724648735792,368.8635320897719,0.4556066388651189,0.56692242114237,0.6747474747474748,0.051717883467705075,0.07043679187435707,0.09011312986734267
Stitched,166217,313,110.25707358453107,177.0,288.0,0.9984698266700235,1.0,1.0,0.0015301733299765794,0.0,0.0,65.11325629517724,116.21010553802907,152.40372729903154,0.7795319386672106,0.8746031746031746,0.9210152353624377,0.0012113802488291985,0.0016823322132253958,0.003092971994518276
Fine-tuned,166217,313,98.10989850616964,166.0,283.0,0.9937246986264446,1.0,1.0,0.006275301373555366,0.0,0.0,59.79114042248183,114.2892030663406,151.51369818247997,0.7934416438841038,0.884828349944629,0.9428571428571428,0.001654871122647126,0.0015924627524183856,0.0038636301316158873
Partial Cells,213102,313,21.99557958160881,29.0,50.0,0.9332017862801677,1.0,1.0,0.06679821371983238,0.11329035553065307,0.39405430898345684,10.75161214274054,15.988094244449641,30.778649016418992,0.7327592271948152,0.9636363636363636,1.0,0.008930466349441765,0.017697353602289804,0.04115840750730168
