Marker,Channel Min,Channel Max,Viewer Gamma
PDL1,3740.5,28767.9,2.23
CD8,2022.2,22742.6,2.54
HSV1,2124.3,12199.1,2.72
OLIG2,5722,14888.7,2.72
CD40,1866.3,8304.8,1.89
CD3,4557.8,12158.8,3.55
SOX2,943.1,6997.2,3.3
CD20,5181,22418.8,3.8
Nestin,1099.6,21018,3.8
CD31,119.5,19303.2,1.26
TMEM119,3381.5,13759.8,1.73
GranzymeB,1330.4,10797,2.51
Vimentin,1836.3,21401.4,2.1
PDGFRa,3564.5,10799.2,2.2
PBR,1017.5,12392.8,2.29
HIF1a,1682.3,8224.8,2.73
P2Y12,2960.1,15281.8,1.63
CXCR4,2064.5,5420.4,2.87
Ki67,77.6,12632.3,1.66
