Marker,Channel Min,Channel Max,Viewer Gamma
CD8,2222.1,38218.7,2.11
OLIG2,1573.6,11011.3,2.61
CD21,4627,27653.9,3.02
SOX2,1595.2,9412.4,3.8
CD20,4855.1,17490,3.8
Ki67,1739.9,19440.6,2.61
SOX10,1044.3,23406.1,2.2
CD45,199.9,14785.8,3.27
CD3,3844.3,26078.3,3.49
CD86,150.8,37807.4,3.35
Nestin,4190.4,12461.6,3.3
GFAP,55.8,16713.8,3.3
CD39,1828.6,13100.8,3.3
CD73,2576.7,9196,2.74
ENT1,5865,28086.3,3.25
NeuN,191.8,3799.1,3.65
CD44,229,1459.5,2.02
Granzyme B,105.1,14706.1,1.43
CD31,1784.1,32376.2,1.19
SV2A,6626.5,34005.8,1.32
Vimentin,2400.5,23578,2.22
CD40,408.2,7167.1,2.22
