Marker,Channel Min,Channel Max,Viewer Gamma
PDL1,3740.5,28767.9,2.23
CD8,2060.9,295814.4,2.54
CD3,4707.1,18843,3.45
SOX2,1296.8,16489.7,3.45
CD20,2560.1,29100.1,3.83
Nestin,64.2,1084.4,2.61
PanCK,56.3,8189.2,3.07
CD31,84.6,6806.9,3.07
TMEM119,3815.8,6399,1.65
GranzymeB,1305.5,10190.6,1.99
Vimentin,37.2,8659.9,1.99
PDGFRa,2138.9,8232.5,1.99
PBR,63.1,19378,1.49
HIF1a,980.7,6093.5,2.97
P2Y12,2216.1,10226.5,2.91
CXCR4,124.5,9675.1,2.85
Ki67,870.5,14338.5,2.85
LAG3,5327.3,21062.6,3.04
