iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
3,726,APOE,djcjhfcd-1,0,2
3,6875,NCSTN,djcjhfcd-1,1,0
3,733,APOE,djcjhfcd-1,0,0
3,4832,FCGBP,dgnkncjk-1,0,0
3,738,APOE,UNASSIGNED,0,0
3,739,APOE,djcjhfcd-1,0,1
3,4834,FCGBP,djcjhfcd-1,0,0
3,4838,FCGBP,djcjhfcd-1,1,3
3,750,APOE,djcjhfcd-1,0,3
3,2798,CD44,dgnkncjk-1,0,0
3,2802,CD44,djcjhfcd-1,1,0
3,2803,CD44,djcjhfcd-1,1,0
3,2806,CD44,djcjhfcd-1,1,1
3,2807,CD44,UNASSIGNED,0,0
3,6907,NES,djcjhfcd-1,0,0
3,764,APOE,djcjhfcd-1,0,1
3,2812,CD44,djcjhfcd-1,0,0
3,774,APOE,djcjhfcd-1,0,3
3,4878,FCGBP,djcjhfcd-1,1,1
3,785,APOE,djckpagf-1,0,1
3,787,APOE,djcjhfcd-1,0,2
3,4886,FCGBP,dgnkaclh-1,1,0
3,791,APOE,djcjhfcd-1,0,6
3,799,APOE,djcjhfcd-1,0,5
3,6944,NES,UNASSIGNED,0,0
3,802,APOE,djckpagf-1,0,0
3,2860,CD44,djcjhfcd-1,1,0
3,2861,CD44,djcjhfcd-1,0,0
3,4910,FCGBP,djcjhfcd-1,1,1
3,825,APOE,UNASSIGNED,0,0
3,4923,FCGBP,djcjhfcd-1,1,0
3,4939,FCGBP,UNASSIGNED,0,2
3,846,APOE,UNASSIGNED,0,0
3,855,APOE,UNASSIGNED,0,0
3,4952,FCGBP,UNASSIGNED,0,1
3,4982,FCGBP,UNASSIGNED,0,1
3,7070,NR4A3,UNASSIGNED,0,1
3,2989,CD93,djcjhfcd-1,1,0
3,5044,FCGBP,UNASSIGNED,0,0
3,5046,FCGBP,djckpagf-1,0,1
3,951,APOE,dgnkncjk-1,0,0
3,3001,CD93,djckpagf-1,0,0
3,954,APOE,dgnkncjk-1,0,0
3,3010,CD93,djcjhfcd-1,0,0
3,5065,FCGBP,UNASSIGNED,0,0
3,3021,CDK1,djcjhfcd-1,0,0
3,3027,CEMIP2,djcjhfcd-1,1,0
3,989,APOE,djcjhfcd-1,1,0
3,1002,APOE,djcjhfcd-1,0,4
3,1004,APOE,djckldfg-1,0,0
3,1034,APOE,djcjhfcd-1,0,0
3,1043,APOE,djckpagf-1,0,0
3,5148,FCGR1A,UNASSIGNED,0,2
3,3109,CHI3L1,dgnkncjk-1,0,0
3,5164,FCGR1A,UNASSIGNED,0,2
3,3123,CHI3L1,dgnkaclh-1,0,0
3,7222,OTUD1,dgnkaclh-1,0,0
3,3129,CHI3L1,dgnkncjk-1,0,0
3,3132,CHI3L1,dgnkncjk-1,0,0
3,3148,CHI3L1,dgnkaclh-1,0,0
3,5197,FCGR1A,djckpagf-1,0,1
3,1115,APOE,djcjhfcd-1,1,0
3,5213,FCGR1A,UNASSIGNED,0,0
3,5214,FCGR1A,UNASSIGNED,0,1
3,1117,APOE,djcjhfcd-1,1,0
3,1127,APOE,djcjhfcd-1,1,0
3,3189,CHI3L1,djcjhfcd-1,0,0
3,3191,CHI3L1,UNASSIGNED,0,1
3,3202,CHI3L1,djckpagf-1,0,0
3,7302,PECAM1,djcjhfcd-1,1,0
3,5258,FCGR3A,dgnkncjk-1,0,0
3,5266,FCGR3A,UNASSIGNED,0,3
3,5279,FCGR3A,UNASSIGNED,0,0
3,1194,APP,dgnkncjk-1,0,0
3,7343,PLAUR,UNASSIGNED,0,1
3,1210,APP,djcjhfcd-1,0,0
3,3275,CHI3L1,djcjhfcd-1,1,0
3,3279,CHI3L1,djcjhfcd-1,0,0
3,5333,FCGR3B,UNASSIGNED,0,0
3,5351,FCGR3B,djckpagf-1,0,2
3,7425,PTPRC,dgnkaclh-1,0,3
3,5380,FCGR3B,UNASSIGNED,0,1
3,7433,PTPRC,UNASSIGNED,0,0
3,7437,PTPRC,djcjhfcd-1,0,1
3,5394,FCGR3B,UNASSIGNED,0,0
3,7443,PTPRC,UNASSIGNED,0,0
3,1301,AQP4,dgnkncjk-1,0,0
3,7446,PTPRC,djcjhfcd-1,1,1
3,1307,AQP4,djcjhfcd-1,1,0
3,3356,CHI3L1,dgnkncjk-1,0,0
3,3358,CHI3L1,UNASSIGNED,0,0
3,7460,PTPRC,djcjhfcd-1,1,0
3,3367,CHI3L1,dgnkncjk-1,0,0
3,3368,CHI3L1,dgnkaclh-1,0,0
3,5427,FOSL2,djcjhfcd-1,1,1
3,3385,CHI3L1,dgnkaclh-1,1,0
3,1343,AQP4,djcjhfcd-1,0,0
3,5446,FOSL2,djcjhfcd-1,1,0
3,5447,FOSL2,UNASSIGNED,0,1
3,1353,ARHGAP24,djcjhfcd-1,0,1
3,1355,ARHGAP24,djcjhfcd-1,0,1
3,5456,FOSL2,djcjhfcd-1,0,0
3,5458,FOSL2,djcjhfcd-1,1,0
3,1363,BCL11B,dgnkaclh-1,1,0
3,3412,CHI3L1,UNASSIGNED,0,0
3,3428,CHI3L1,djcjhfcd-1,1,0
3,7524,PTPRZ1,djcjhfcd-1,0,0
3,5481,FOSL2,djcjhfcd-1,0,0
3,5483,FOSL2,djcjhfcd-1,1,0
3,5484,FOSL2,djcjhfcd-1,1,0
3,1390,BIN1,UNASSIGNED,0,0
3,5487,FOSL2,djcjhfcd-1,1,0
3,5488,FOSL2,djcjhfcd-1,1,0
3,5490,FOSL2,djcjhfcd-1,1,0
3,5493,FOSL2,djcjhfcd-1,0,1
3,1399,BIN1,djcjhfcd-1,1,0
3,1400,BIN1,djcjhfcd-1,0,0
3,1401,BIN1,djcjhfcd-1,0,0
3,5511,GAA,djcjhfcd-1,1,0
3,5519,GAA,djcjhfcd-1,1,0
3,5520,GAA,djcjhfcd-1,1,0
3,5522,GAA,djcjhfcd-1,1,0
3,5524,GAA,djcjhfcd-1,1,0
3,5525,GAA,djcjhfcd-1,1,1
3,5528,GAA,djcjhfcd-1,0,2
3,1437,C1orf162,UNASSIGNED,0,0
3,1439,C1orf162,UNASSIGNED,0,1
3,5537,GAA,UNASSIGNED,0,0
3,3489,CHI3L1,djcjhfcd-1,0,4
3,1443,C1orf162,djcjhfcd-1,0,0
3,1442,C1orf162,djcjhfcd-1,1,1
3,1454,C3,UNASSIGNED,0,1
3,3508,CHI3L1,UNASSIGNED,0,0
3,3513,CHI3L1,UNASSIGNED,0,0
3,1481,C3,djcjhfcd-1,0,0
3,1482,C3,UNASSIGNED,0,0
3,5578,GJA1,djcjhfcd-1,0,0
3,1553,C3,UNASSIGNED,0,0
3,1557,C3,dgnkncjk-1,0,1
3,1562,C3,dgnkncjk-1,0,1
3,7732,RGS16,UNASSIGNED,0,0
3,7733,RGS16,djcjhfcd-1,0,0
3,1590,C3,djcjhfcd-1,1,0
3,3638,CNTNAP3B,djcjhfcd-1,1,0
3,1592,C3,dgnkaclh-1,1,0
3,5688,GPNMB,djcjhfcd-1,1,0
3,3642,CNTNAP3B,djcjhfcd-1,0,0
3,1595,C3,djcjhfcd-1,1,2
3,7743,RGS16,djcjhfcd-1,1,1
3,7745,RGS16,djcjhfcd-1,1,0
3,1603,C3,dgnkaclh-1,1,0
3,7748,RGS16,djcjhfcd-1,1,1
3,7754,RNASET2,UNASSIGNED,0,0
3,3661,CORO1A,UNASSIGNED,0,1
3,1614,C3,dgnkaclh-1,0,0
3,5717,GPR183,djcjhfcd-1,1,0
3,1621,C3,djcjhfcd-1,1,2
3,3676,CSRP2,djcjhfcd-1,0,0
3,1636,C3,UNASSIGNED,0,1
3,1637,C3,UNASSIGNED,0,0
3,7793,RNASET2,UNASSIGNED,0,0
3,3700,CTSD,djcjhfcd-1,1,1
3,1659,C3,UNASSIGNED,0,1
3,3710,CTSD,djcjhfcd-1,0,0
3,3711,CTSD,djcjhfcd-1,0,0
3,3716,CTSD,UNASSIGNED,0,0
3,5765,HES1,djcjhfcd-1,1,0
3,3717,CTSD,djcjhfcd-1,0,0
3,5772,HES1,dgnkaclh-1,0,0
