iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
1,3590,CHI3L1,dgnkaclh-1,0,1
1,4617,FCER1G,UNASSIGNED,0,0
1,526,APOE,UNASSIGNED,0,1
1,3598,CHI3L1,djcjhfcd-1,0,0
1,1040,APOE,UNASSIGNED,0,2
1,1554,C3,UNASSIGNED,0,0
1,2584,CD163,UNASSIGNED,0,0
1,2590,CD163,UNASSIGNED,0,1
1,543,APOE,dgnkaclh-1,0,4
1,2079,CCL4,UNASSIGNED,0,1
1,2084,CCL4,UNASSIGNED,0,1
1,4645,FCGBP,UNASSIGNED,0,0
1,2089,CCL4,UNASSIGNED,0,3
1,554,APOE,dgnkncjk-1,0,0
1,5166,FCGR1A,UNASSIGNED,0,3
1,46,AIF1,UNASSIGNED,0,0
1,6193,IFITM3,UNASSIGNED,0,0
1,8242,STAB1,UNASSIGNED,0,0
1,3123,CHI3L1,dgnkaclh-1,0,0
1,7732,RGS16,UNASSIGNED,0,0
1,7221,OTUD1,UNASSIGNED,0,2
1,7222,OTUD1,dgnkaclh-1,0,0
1,6197,IFITM3,UNASSIGNED,0,0
1,571,APOE,dgnkncjk-1,0,2
1,3134,CHI3L1,dgnkaclh-1,0,0
1,1601,C3,dgnkaclh-1,0,1
1,5186,FCGR1A,UNASSIGNED,0,1
1,579,APOE,dgnkncjk-1,0,0
1,1612,C3,dgnkaclh-1,0,3
1,3148,CHI3L1,dgnkaclh-1,0,0
1,7770,RNASET2,UNASSIGNED,0,0
1,3162,CHI3L1,djcjhfcd-1,0,0
1,6748,MGST1,UNASSIGNED,0,0
1,3163,CHI3L1,UNASSIGNED,0,0
1,3167,CHI3L1,UNASSIGNED,0,0
1,1122,APOE,UNASSIGNED,0,0
1,6243,IFITM3,UNASSIGNED,0,0
1,4707,FCGBP,dgnkaclh-1,0,0
1,1638,C3,UNASSIGNED,0,0
1,2665,CD4,dgnkaclh-1,1,0
1,2666,CD4,dgnkaclh-1,0,4
1,619,APOE,dgnkaclh-1,0,1
1,2669,CD4,dgnkaclh-1,0,0
1,4724,FCGBP,djckpagf-1,0,2
1,2681,CD4,UNASSIGNED,0,1
1,2684,CD4,UNASSIGNED,0,0
1,3202,CHI3L1,djckpagf-1,0,0
1,3716,CTSD,UNASSIGNED,0,1
1,1668,C3,djckpagf-1,0,2
1,1671,C3,UNASSIGNED,0,3
1,3218,CHI3L1,UNASSIGNED,0,0
1,5268,FCGR3A,UNASSIGNED,0,2
1,6296,IGFBP5,UNASSIGNED,0,0
1,6820,MME,UNASSIGNED,0,0
1,684,APOE,djcjhfcd-1,0,1
1,2240,CCL4,dgnkncjk-1,0,1
1,3776,CTSD,UNASSIGNED,0,0
1,7873,SERPINA3,UNASSIGNED,0,0
1,6849,MS4A6A,UNASSIGNED,0,0
1,7364,PLEK,UNASSIGNED,0,0
1,2245,CCL4,dgnkaclh-1,0,2
1,4806,FCGBP,UNASSIGNED,0,1
1,3784,CTSD,dgnkaclh-1,1,0
1,6857,MS4A6A,UNASSIGNED,0,0
1,5835,HLA-DMA,UNASSIGNED,0,3
1,8396,TGFBI,UNASSIGNED,0,0
1,3279,CHI3L1,djcjhfcd-1,0,0
1,2256,CCL4,dgnkaclh-1,1,1
1,4817,FCGBP,UNASSIGNED,0,0
1,3796,CTSD,UNASSIGNED,0,0
1,8409,TGFBR1,UNASSIGNED,0,1
1,4832,FCGBP,dgnkncjk-1,0,0
1,2273,CCL4,UNASSIGNED,0,2
1,3810,CTSD,UNASSIGNED,0,0
1,1761,CAV1,UNASSIGNED,0,0
1,5348,FCGR3B,UNASSIGNED,0,0
1,5349,FCGR3B,UNASSIGNED,0,2
1,3815,CTSD,UNASSIGNED,0,0
1,5872,HLA-DMB,djckpagf-1,0,0
1,2292,CCL4,UNASSIGNED,0,0
1,2304,CCL4,djckpagf-1,0,2
1,1794,CCL3L1,UNASSIGNED,0,2
1,2308,CCL4,djckpagf-1,0,1
1,2310,CCL4,djckpagf-1,0,2
1,5382,FCGR3B,UNASSIGNED,0,1
1,5384,FCGR3B,UNASSIGNED,0,1
1,4874,FCGBP,UNASSIGNED,0,2
1,267,ANXA1,djcjhfcd-1,1,0
1,3850,CTSD,djcjhfcd-1,0,0
1,8461,TGFBR1,UNASSIGNED,0,1
1,5394,FCGR3B,UNASSIGNED,0,0
1,7447,PTPRC,dgnkaclh-1,0,2
1,3358,CHI3L1,UNASSIGNED,0,0
1,8478,THBS1,UNASSIGNED,0,0
1,6436,ITGB2,djckpagf-1,0,2
1,4903,FCGBP,dgnkaclh-1,0,4
1,4395,EGR2,UNASSIGNED,0,0
1,7988,SLC2A5,dgnkaclh-1,0,0
1,3892,CTSH,dgnkaclh-1,0,0
1,311,APLNR,UNASSIGNED,0,0
1,8503,TNFAIP3,dgnkaclh-1,1,0
1,2362,CCL4,djckpagf-1,0,1
