iteration,node_index,gene_name,cell_id,overlaps_nucleus,degree
4,2056,CCL4,UNASSIGNED,0,0
4,4108,CYFIP1,UNASSIGNED,0,1
4,6163,IFITM3,dgnkncjk-1,0,0
4,8212,ST6GAL1,dgnkncjk-1,0,0
4,4115,CYFIP1,djcjhfcd-1,0,1
4,20,AIF1,djcjhfcd-1,1,0
4,4120,CYFIP1,djcjhfcd-1,0,0
4,31,AIF1,djcjhfcd-1,0,0
4,2079,CCL4,UNASSIGNED,0,0
4,35,AIF1,djcjhfcd-1,1,0
4,36,AIF1,djckpagf-1,0,0
4,37,AIF1,djcjhfcd-1,0,1
4,4142,CYFIP1,UNASSIGNED,0,1
4,46,AIF1,UNASSIGNED,0,0
4,4144,CYFIP1,djcjhfcd-1,0,1
4,6197,IFITM3,UNASSIGNED,0,0
4,55,AIF1,UNASSIGNED,0,0
4,57,AIF1,UNASSIGNED,0,0
4,58,AIF1,djcjhfcd-1,0,0
4,2107,CCL4,djckpagf-1,0,1
4,4154,CYFIP1,djcjhfcd-1,0,0
4,8252,STAT3,djcjhfcd-1,1,0
4,6205,IFITM3,dgnkaclh-1,0,0
4,4166,CYFIP1,djcjhfcd-1,1,0
4,80,ANXA1,UNASSIGNED,0,0
4,8277,STAT3,djcjhfcd-1,1,1
4,8281,STAT3,djckpagf-1,0,0
4,8288,STAT3,djcjhfcd-1,0,0
4,8291,STAT3,djcjhfcd-1,0,0
4,8302,STAT3,djcjhfcd-1,1,0
4,8311,STXBP2,djcjhfcd-1,0,0
4,2170,CCL4,dgnkncjk-1,0,0
4,4219,DDR2,djckpagf-1,0,0
4,2178,CCL4,dgnkncjk-1,0,1
4,2179,CCL4,dgnkncjk-1,0,2
4,4231,DNER,dgnkncjk-1,0,1
4,135,ANXA1,djcjhfcd-1,1,0
4,8331,TACR1,UNASSIGNED,0,0
4,8333,TGFB1,UNASSIGNED,0,0
4,8334,TGFB1,djcjhfcd-1,0,0
4,2193,CCL4,UNASSIGNED,0,2
4,6290,IGFBP5,djcjhfcd-1,0,0
4,8342,TGFB1,djcjhfcd-1,0,0
4,8344,TGFB1,dgnkaclh-1,1,0
4,8347,TGFB1,dgnkaclh-1,1,0
4,8353,TGFB1,djcjhfcd-1,0,0
4,8354,TGFB1,djcjhfcd-1,0,0
4,8357,TGFB1,djcjhfcd-1,0,2
4,6317,IGFBP5,dgnkncjk-1,0,0
4,8366,TGFB2,djcjhfcd-1,0,0
4,6319,IGFBP5,UNASSIGNED,0,0
4,4270,EGFR,dgnkncjk-1,0,0
4,8376,TGFBI,djcjhfcd-1,1,0
4,8380,TGFBI,djcjhfcd-1,0,0
4,8381,TGFBI,djckpagf-1,1,0
4,4286,EGFR,djcjhfcd-1,0,1
4,197,ANXA1,UNASSIGNED,0,1
4,206,ANXA1,djcjhfcd-1,0,0
4,8398,TGFBI,djcjhfcd-1,1,0
4,8400,TGFBI,djcjhfcd-1,1,2
4,6364,IL1B,dgnkaclh-1,0,0
4,4317,EGFR,djcjhfcd-1,0,0
4,224,ANXA1,UNASSIGNED,0,0
4,8421,TGFBR1,djcjhfcd-1,1,1
4,6379,IL2RA,UNASSIGNED,0,0
4,2284,CCL4,UNASSIGNED,0,0
4,4335,EGR2,djckpagf-1,0,0
4,8434,TGFBR1,UNASSIGNED,0,1
4,8435,TGFBR1,djcjhfcd-1,0,0
4,2299,CCL4,UNASSIGNED,0,0
4,8445,TGFBR1,djckpagf-1,0,1
4,267,ANXA1,djcjhfcd-1,1,0
4,2317,CCL4,UNASSIGNED,0,0
4,274,ANXA1,dgnkaclh-1,1,0
4,284,ANXA1,djcjhfcd-1,0,0
4,286,ANXA1,djcjhfcd-1,0,0
4,4393,EGR2,UNASSIGNED,0,0
4,2351,CCL4,UNASSIGNED,0,3
4,4400,EGR2,djcjhfcd-1,1,0
4,4399,EGR2,djcjhfcd-1,0,0
4,4405,EGR2,UNASSIGNED,0,1
4,8506,TNFAIP3,djcjhfcd-1,1,0
4,6474,ITGB2,UNASSIGNED,0,1
4,6475,ITGB2,djckldfg-1,0,1
4,334,APOE,dgnkncjk-1,0,2
4,336,APOE,dgnkncjk-1,0,4
4,6482,ITGB2,djckpagf-1,0,1
4,354,APOE,djcjhfcd-1,1,1
4,356,APOE,djcjhfcd-1,1,2
4,6504,KLF2,djcjhfcd-1,0,0
4,2412,CD14,UNASSIGNED,0,0
4,4463,EGR3,djckpagf-1,0,0
4,2418,CD14,djckpagf-1,0,1
4,6533,LGALS3,dgnkncjk-1,0,0
4,6536,LGALS3,djcjhfcd-1,1,0
4,2445,CD14,djckpagf-1,0,1
4,4496,EGR3,UNASSIGNED,0,0
4,2461,CD163,dgnkaclh-1,0,0
4,6559,LGMN,djcjhfcd-1,0,0
4,6563,LGMN,djcjhfcd-1,0,1
4,6564,LGMN,djckpagf-1,0,2
4,4518,EREG,dgnkncjk-1,1,0
4,2480,CD163,djckldfg-1,0,1
4,6577,LGMN,djcjhfcd-1,0,1
4,6585,LGMN,djcjhfcd-1,1,0
4,8641,VEGFA,dgnkaclh-1,0,0
4,4553,FCER1G,dgnkncjk-1,1,0
4,6604,LIPA,djcjhfcd-1,0,1
4,6606,LIPA,djcjhfcd-1,0,0
4,6610,LIPA,djcjhfcd-1,0,0
4,6611,LIPA,djcjhfcd-1,0,1
4,6612,LIPA,UNASSIGNED,0,0
4,6615,LOX,UNASSIGNED,0,0
4,6629,LTA4H,UNASSIGNED,0,0
4,6632,LTA4H,djcjhfcd-1,1,0
4,4592,FCER1G,dgnkaclh-1,1,0
4,500,APOE,UNASSIGNED,0,0
4,4597,FCER1G,djckldfg-1,1,1
4,512,APOE,UNASSIGNED,0,0
4,515,APOE,dgnkncjk-1,0,3
4,525,APOE,dgnkncjk-1,0,1
4,532,APOE,dgnkncjk-1,0,3
4,6676,MAOB,UNASSIGNED,0,0
4,2584,CD163,UNASSIGNED,0,0
4,2591,CD163,djckldfg-1,0,1
4,6688,MAOB,dgnkncjk-1,0,1
4,6690,MAOB,djcjhfcd-1,1,0
4,4645,FCGBP,UNASSIGNED,0,1
4,549,APOE,dgnkncjk-1,0,1
4,6694,MAOB,djcjhfcd-1,1,0
4,556,APOE,djcjhfcd-1,1,0
4,6706,MAOB,dgnkncjk-1,0,1
4,2614,CD302,UNASSIGNED,0,0
4,570,APOE,dgnkncjk-1,1,1
4,2622,CD302,UNASSIGNED,0,0
4,4679,FCGBP,UNASSIGNED,0,1
4,604,APOE,djcjhfcd-1,1,1
4,4707,FCGBP,dgnkaclh-1,0,0
4,4714,FCGBP,djcjhfcd-1,1,0
4,2670,CD4,dgnkncjk-1,0,1
4,2672,CD4,UNASSIGNED,0,1
4,4725,FCGBP,djckpagf-1,0,2
4,636,APOE,dgnkaclh-1,1,0
4,2689,CD4,djckpagf-1,0,0
4,646,APOE,djcjhfcd-1,0,0
4,663,APOE,UNASSIGNED,0,0
4,665,APOE,djcjhfcd-1,1,3
4,669,APOE,djckldfg-1,0,1
4,682,APOE,djcjhfcd-1,0,1
4,688,APOE,djcjhfcd-1,0,3
4,2746,CD44,dgnkncjk-1,0,0
4,698,APOE,djcjhfcd-1,1,2
4,2748,CD44,dgnkaclh-1,1,0
4,704,APOE,UNASSIGNED,0,0
4,2752,CD44,dgnkncjk-1,0,0
4,710,APOE,UNASSIGNED,0,0
4,2758,CD44,djcjhfcd-1,1,0
4,2761,CD44,djcjhfcd-1,1,0
4,2764,CD44,djcjhfcd-1,0,0
4,2767,CD44,djcjhfcd-1,0,1
4,730,APOE,djcjhfcd-1,0,1
4,733,APOE,djcjhfcd-1,0,0
4,737,APOE,djcjhfcd-1,1,0
4,2798,CD44,dgnkncjk-1,0,0
4,2803,CD44,djcjhfcd-1,1,0
4,756,APOE,UNASSIGNED,0,0
4,4853,FCGBP,djcjhfcd-1,1,4
4,2812,CD44,djcjhfcd-1,0,1
4,4866,FCGBP,dgnkaclh-1,1,0
4,4868,FCGBP,dgnkncjk-1,1,0
4,2828,CD44,djcjhfcd-1,0,0
4,802,APOE,djckpagf-1,0,1
4,2859,CD44,djcjhfcd-1,1,0
4,2860,CD44,djcjhfcd-1,1,0
4,2869,CD44,UNASSIGNED,0,0
4,4920,FCGBP,djcjhfcd-1,1,2
4,4923,FCGBP,djcjhfcd-1,1,0
4,4924,FCGBP,UNASSIGNED,0,0
4,4936,FCGBP,djcjhfcd-1,1,1
4,4983,FCGBP,UNASSIGNED,0,2
4,4984,FCGBP,UNASSIGNED,0,1
4,2989,CD93,djcjhfcd-1,1,0
4,7087,NR4A3,djckpagf-1,0,1
4,2991,CD93,UNASSIGNED,0,0
4,5044,FCGBP,UNASSIGNED,0,0
4,5048,FCGBP,djckpagf-1,0,1
4,3001,CD93,djckpagf-1,0,0
4,5057,FCGBP,djckpagf-1,0,1
4,3010,CD93,djcjhfcd-1,0,0
4,968,APOE,djcjhfcd-1,1,0
4,5065,FCGBP,UNASSIGNED,0,0
4,3029,CEMIP2,djcjhfcd-1,0,0
4,982,APOE,dgnkaclh-1,1,0
4,5079,FCGBP,UNASSIGNED,0,0
4,985,APOE,djcjhfcd-1,1,2
4,5084,FCGBP,UNASSIGNED,0,0
4,7138,NRP1,UNASSIGNED,0,0
4,1004,APOE,djckldfg-1,0,1
4,5117,FCGBP,dgnkaclh-1,1,0
4,1043,APOE,djckpagf-1,0,3
4,3102,CHI3L1,UNASSIGNED,0,0
4,3105,CHI3L1,dgnkncjk-1,0,0
4,5155,FCGR1A,dgnkaclh-1,1,1
4,3109,CHI3L1,dgnkncjk-1,0,1
4,7212,OTUD1,UNASSIGNED,0,1
4,7222,OTUD1,dgnkaclh-1,0,0
4,3128,CHI3L1,djcjhfcd-1,1,0
4,3129,CHI3L1,dgnkncjk-1,0,1
4,7225,OTUD1,UNASSIGNED,0,1
4,7244,OTUD1,djckpagf-1,0,1
4,5213,FCGR1A,UNASSIGNED,0,5
4,1127,APOE,djcjhfcd-1,1,0
4,3178,CHI3L1,djcjhfcd-1,1,1
4,3189,CHI3L1,djcjhfcd-1,0,0
4,1156,APP,dgnkncjk-1,0,0
4,5279,FCGR3A,UNASSIGNED,0,2
