gene_i,gene_j,P_i,P_j,P_ij,P_i_given_j,P_j_given_i,PMI,NPMI
ACE,ACE,0.0005555748463488316,0.0005555748463488316,0.0005555748463488316,1.0,1.0,7.495507221059204,1.0
ACE,ACTA2,0.0005555748463488316,0.01954928990589951,3.4723427896801975e-05,0.0017761989342806397,0.0625,1.1622275929195132,0.11318822879503665
ACE,ADGRL4,0.0005555748463488316,0.0002777874231744158,0.0,0.0,0.0,,
ACE,AK1,0.0005555748463488316,0.0002777874231744158,0.0,0.0,0.0,,
ACE,AKR1C1,0.0005555748463488316,0.0013889371158720789,0.0,0.0,0.0,,
ACE,APOE,0.0005555748463488316,0.006389110733011563,0.0,0.0,0.0,,
ACE,APOLD1,0.0005555748463488316,0.0003472342789680197,0.0,0.0,0.0,,
ACE,ATF4,0.0005555748463488316,0.00263898052015695,0.0,0.0,0.0,,
ACE,ATF6,0.0005555748463488316,0.0007639154137296434,0.0,0.0,0.0,,
ACE,ATP6V1G3,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,AXL,0.0005555748463488316,0.0005555748463488316,0.0,0.0,0.0,,
ACE,BANK1,0.0005555748463488316,0.0004861279905552276,0.0,0.0,0.0,,
ACE,BIRC3,0.0005555748463488316,0.0004861279905552276,0.0,0.0,0.0,,
ACE,BMX,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,C16orf89,0.0005555748463488316,0.008055835272058057,0.0,0.0,0.0,,
ACE,C1QC,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,CALB2,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,CAV1,0.0005555748463488316,0.0007639154137296434,0.0,0.0,0.0,,
ACE,CCL13,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,CCL21,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,CCL22,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
ACE,CCL23,0.0005555748463488316,3.4723427896801975e-05,0.0,0.0,0.0,,
ACE,CCND1,0.0005555748463488316,0.00010417028369040591,0.0,0.0,0.0,,
ACE,CCR7,0.0005555748463488316,6.944685579360395e-05,0.0,0.0,0.0,,
