Marker,Channel Min,Channel Max,Viewer Gamma
HSV1 (C6),1880.9,27987.8,3.01
CD8,753.6,23451.3,3.01
OLIG2,2362.1,112002,2.79
CD21,726.9,11464.6,3.26
SOX2,1502.9,8778.7,3.26
CD20,843.1,4419.5,3.26
Ki67,165.1,10423.8,3.92
SOX10,1799.8,15283.4,1.6
CD45,178.9,20387.5,2.38
CD3,76.2,12334,2.38
CD86,116.2,65486.7,3.54
Nestin,1370.6,6312,1.81
GFAP,94,3191.5,1.81
CD39,850.7,14706.7,2.79
CD73,892.3,10060.3,2.79
ENT1,4051,37522.9,1.71
NeuN,1243.6,3086.5,2.58
CD44,189.8,3043.6,2.58
Granzyme B,141.8,25136.6,2.79
CD31,1955.8,17411.2,1.61
SV2A,2744.6,18637.5,1.61
CD206,340.6,7451.7,1.61
Vimentin,57.8,7816.1,2.53
CD40,1381.3,6174.3,2.79
