Dataset,n_cells,n_genes,n_transcripts_mean,n_transcripts_p80,n_transcripts_p95,relative_purity_mean,relative_purity_p80,relative_purity_p95,relative_conflict_mean,relative_conflict_p80,relative_conflict_p95,signal_strength_mean,signal_strength_p80,signal_strength_p95,cell_purity_mean,cell_purity_p80,cell_purity_p95,conflict_score_mean,conflict_score_p80,conflict_score_p95
Cellpose,8439,241,47.13366512619979,73.0,192.0,0.9020439526860404,1.0,1.0,0.09795604731395953,0.16864383879775588,0.28524078846792433,15.683722218207988,25.921281208966676,56.843846645835505,0.702396232285658,0.8333333333333334,1.0,0.019818558644407805,0.03164641850651831,0.05637959383108782
Cellpose + Baysor,8212,241,99.81307842182173,156.0,298.0,0.8844888977358517,0.9722596846340555,1.0,0.11551110226414832,0.19010287666838724,0.28482107739689666,28.247253236777315,45.37299171312147,82.90393174798845,0.6740219082462781,0.7543859649122807,0.8928571428571429,0.022377543508031724,0.03355609746489031,0.051352678013181954
Baysor + Proseg,7880,241,102.92182741116751,64.0,142.0,0.985364894639886,1.0,1.0,0.014635105360113932,0.0,0.0850323457565984,4.837166960650828,7.205516263374371,15.493248525304148,0.9033160178948714,1.0,1.0,0.004341204387499287,0.0027921351738123715,0.02670132258483393
Baysor + Stitchd,8212,241,65.49342425718461,105.0,183.0,0.9926082715614387,1.0,1.0,0.007391728438561167,0.0,0.03513863777878599,16.058859505801898,25.027815201227984,43.10498250852563,0.8188463423785928,0.9041960784313727,1.0,0.0024675912077723066,0.0025911032003404053,0.009561107789984303
Baysor + Fine-tuned,8212,241,54.19240136385777,90.0,172.0,0.987984343250752,1.0,1.0,0.012015656749248042,0.0025626546557797674,0.05747591288787116,12.5583666553144,20.365626043790375,38.36020059745748,0.8233847276023056,0.9272727272727272,1.0,0.0031944322334671593,0.00374236265432536,0.013087241344366573
Partial Cells,3275,233,31.21526717557252,35.0,101.0,0.9677002972070686,1.0,1.0,0.0322997027929313,0.042239369756006825,0.19280440228873688,4.8848535292077635,7.244538318770931,11.768463043195887,0.8090163598918534,0.9555555555555556,1.0,0.006229337962290618,0.010545510789588024,0.028644106791601846
